2025-04-10 11:23:04.670 [main] [] INFO  c.i.m.MusicDistributionApplication - Starting MusicDistributionApplication using Java 21.0.3 with PID 1480 (/Users/user/Develop/music-distribution-service/build/classes/java/main started by user in /Users/user/Develop/music-distribution-service)
2025-04-10 11:23:04.670 [main] [] DEBUG c.i.m.MusicDistributionApplication - Running with Spring Boot v3.2.4, Spring v6.1.5
2025-04-10 11:23:04.671 [main] [] INFO  c.i.m.MusicDistributionApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-10 11:23:05.154 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-10 11:23:05.164 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2025-04-10 11:23:05.710 [main] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-10 11:23:05.717 [main] [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-10 11:23:05.718 [main] [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-04-10 11:23:05.756 [main] [] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-04-10 11:23:05.756 [main] [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1060 ms
2025-04-10 11:23:05.831 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-10 11:23:05.914 [main] [] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:musicdb user=SA
2025-04-10 11:23:05.914 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-10 11:23:05.920 [main] [] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:musicdb'
2025-04-10 11:23:06.014 [main] [] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-10 11:23:06.046 [main] [] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-04-10 11:23:06.064 [main] [] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-10 11:23:06.178 [main] [] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-10 11:23:06.204 [main] [] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-04-10 11:23:06.380 [main] [] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-10 11:23:06.382 [main] [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-10 11:23:06.548 [main] [] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-10 11:23:06.995 [main] [] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-04-10 11:23:07.037 [main] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-04-10 11:23:07.039 [main] [] INFO  c.i.m.MusicDistributionApplication - Started MusicDistributionApplication in 2.647 seconds (process running for 2.841)
2025-04-10 11:24:19.078 [SpringApplicationShutdownHook] [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-10 11:24:19.083 [SpringApplicationShutdownHook] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-04-10 11:24:19.086 [SpringApplicationShutdownHook] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-04-10 11:39:59.952 [main] [] INFO  c.i.m.MusicDistributionApplication - Starting MusicDistributionApplication using Java 21.0.3 with PID 1819 (/Users/user/Develop/music-distribution-service/build/classes/java/main started by user in /Users/user/Develop/music-distribution-service)
2025-04-10 11:39:59.953 [main] [] DEBUG c.i.m.MusicDistributionApplication - Running with Spring Boot v3.2.4, Spring v6.1.5
2025-04-10 11:39:59.953 [main] [] INFO  c.i.m.MusicDistributionApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-10 11:40:00.488 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-10 11:40:00.499 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2025-04-10 11:40:00.954 [main] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-10 11:40:00.962 [main] [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-10 11:40:00.962 [main] [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-04-10 11:40:00.997 [main] [] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-04-10 11:40:00.997 [main] [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1010 ms
2025-04-10 11:40:01.068 [main] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
